rib,stiffness,ks_MN_m3_assumed,x_m,w_mm,rotation_rad,soil_pressure_kPa,M_Gk_kNm,V_Gk_kN
R7,gross_instantaneous,5.0,0.674655737704918,4.975435432700181,-5.713950502221698e-05,24.877177163500903,0.33429299462201634,0.25411630193740836
R7,gross_instantaneous,5.0,0.6871475409836065,4.974721167300348,-5.721807123512699e-05,24.873605836501742,0.33738565403248294,0.24103129000482099
R7,gross_instantaneous,5.0,0.6996393442622951,4.974005915827732,-5.729738019239064e-05,24.870029579138656,0.3403147604777701,0.227930653001026
R7,gross_instantaneous,5.0,0.6996393442622951,4.974005915827732,-5.729738019238147e-05,24.870029579138663,0.3403147604777701,0.227930653001026
R7,gross_instantaneous,5.0,0.7121311475409836,4.9732896693219795,-5.73773554589585e-05,24.866448346609896,0.34308011863750626,0.21481436927014677
R7,gross_instantaneous,5.0,0.7246229508196722,4.97257242009907,-5.7457920209578197e-05,24.86286210049535,0.3456815329196321,0.2016824169743693
R7,gross_instantaneous,5.0,0.7371147540983607,4.971854160795285,-5.753907444424056e-05,24.85927080397643,0.3481188074582715,0.1885347741131512
R7,gross_instantaneous,5.0,0.7496065573770492,4.971134884046906,-5.7620818162945576e-05,24.855674420234532,0.35039174611171664,0.1753714185249743
R7,gross_instantaneous,5.0,0.7496065573770492,4.971134884046904,-5.762081816302085e-05,24.85567442023452,0.35039174611171664,0.1753714185249743
R7,gross_instantaneous,5.0,0.7620983606557377,4.970414582809597,-5.770307456496188e-05,24.852072914047984,0.35250015246042116,0.16219232788908788
R7,gross_instantaneous,5.0,0.7745901639344263,4.9696932513214715,-5.778576645681179e-05,24.848466256607356,0.3544438298051073,0.1489974797447563
R7,gross_instantaneous,5.0,0.7870819672131149,4.968970884142473,-5.7868893838570585e-05,24.844854420712362,0.356222581165162,0.13578685151055947
R7,gross_instantaneous,5.0,0.7995737704918033,4.9682474758325466,-5.7952456710238255e-05,24.84123737916273,0.35783620927714643,0.1225604204861542
R7,gross_instantaneous,5.0,0.7995737704918033,4.968247475832548,-5.795245671016602e-05,24.84123737916274,0.35783620927714643,0.1225604204861542
R7,gross_instantaneous,5.0,0.8120655737704918,4.967523021272556,-5.803637790301673e-05,24.837615106362783,0.3592845165933155,0.10931816385402585
R7,gross_instantaneous,5.0,0.8245573770491803,4.966797516631947,-5.812057985365536e-05,24.833987583159733,0.3605673052802501,0.09606005869882756
R7,gross_instantaneous,5.0,0.8370491803278689,4.966070958403549,-5.82050625620819e-05,24.830354792017744,0.36168437721778074,0.0827860820267739
R7,gross_instantaneous,5.0,0.8495409836065574,4.965343343080192,-5.828982602829636e-05,24.82671671540096,0.3626355339980251,0.06949621076741044
R7,gross_instantaneous,5.0,0.8495409836065574,4.965343343080192,-5.828982602827456e-05,24.82671671540096,0.3626355339980251,0.06949621076741044
R7,gross_instantaneous,5.0,0.8620327868852459,4.964614667477156,-5.837479271359084e-05,24.82307333738578,0.3634205769244349,0.056190421775373645
R7,gross_instantaneous,5.0,0.8745245901639345,4.963884929704495,-5.8459884682280325e-05,24.819424648522475,0.36403930701095705,0.042868691849823184
R7,gross_instantaneous,5.0,0.887016393442623,4.963154128197193,-5.8545101934342995e-05,24.815770640985964,0.36449152498148657,0.02953099775392841
R7,gross_instantaneous,5.0,0.8995081967213114,4.962422261390234,-5.863044446977886e-05,24.81211130695117,0.3647770312694351,0.0161773162166464
R7,gross_instantaneous,5.0,0.8995081967213114,4.962422261390236,-5.86304444696876e-05,24.81211130695118,0.3647770312694351,0.0161773162166464
R7,gross_instantaneous,5.0,0.9119999999999999,4.961689328042607,-5.871583437766003e-05,24.808446640213035,0.3648956260173076,0.0028076239344904403
R7,gross_instantaneous,5.0,0.9146213669868082,4.961535388811724,-5.8733749263298894e-05,24.807676944058617,0.3648993060779172,7.28583859910259e-17
R7,gross_instantaneous,5.0,0.9244918032786885,4.960955328214279,-5.88011933480109e-05,24.804776641071395,0.36484710907639456,-0.010578102408944464
R7,gross_instantaneous,5.0,0.9369836065573771,4.960220262291719,-5.8886521380740195e-05,24.80110131145859,0.3646312800067577,-0.023979886123401517
R7,gross_instantaneous,5.0,0.9494754098360656,4.959484130661392,-5.8971818475847923e-05,24.797420653306958,0.3642479380773306,-0.03739775051017551
R7,gross_instantaneous,5.0,0.9494754098360656,4.959484130661391,-5.8971818475907677e-05,24.797420653306954,0.3642479380773306,-0.03739775051017551
R7,gross_instantaneous,5.0,0.9619672131147541,4.958746934035321,-5.905700634827588e-05,24.7937346701766,0.36369688226602886,-0.050831718860335925
R7,gross_instantaneous,5.0,0.9744590163934427,4.958008674432771,-5.9142006311083814e-05,24.790043372163858,0.36297791125997586,-0.06428181443510746
R7,gross_instantaneous,5.0,0.9869508196721313,4.957269354201074,-5.922681836433149e-05,24.78634677100537,0.3620908234560229,-0.0777480604461959
R7,gross_instantaneous,5.0,0.9994426229508198,4.956528975687555,-5.9311442508018904e-05,24.782644878437775,0.3610354169613857,-0.09123048005399287
