rib,length_m,stiffness,EI_kNm2,ks_MN_m3_assumed,contact_width_m_assumed,elements,maximum_element_length_m,Gk_total_kN,soil_reaction_integral_kN,force_equilibrium_relative_error,moment_equilibrium_relative_error,linear_system_relative_residual,free_right_end_V_residual_kN,free_right_end_M_residual_kNm,w_min_mm,w_max_mm,rotation_abs_max_mrad,pressure_min_Gk_kPa,pressure_max_Gk_kPa,pressure_average_Gk_kPa,M_sagging_Gk_kNm,M_hogging_Gk_kNm,V_abs_Gk_kN,pressure_max_scaled_1p35G_kPa,M_sagging_Ed_kNm,M_hogging_Ed_kNm,V_abs_Ed_kN,linear_contact_all_compressive,coarse_fine_max_relative_change
R1,7.495,cracked_sustained_4phi16,9587.25608163519,5.0,0.35,153,0.05,101.6951,101.69509993851062,6.046444085590064e-10,3.42499216379073e-10,2.2674904258850197e-09,-6.148934156291475e-08,-3.303353596582209e-07,6.961201083490398,8.690145255398859,0.5878499741009838,34.80600541745199,43.45072627699429,38.76683503287906,1.0544618083003088,-6.2566854763524065,6.0466417531514844,58.65848047394229,1.423523441205417,-8.44652539307575,8.162966366754505,True,2.1471196015372772e-06
R1,7.495,cracked_sustained_4phi16,9587.25608163519,10.0,0.35,153,0.05,101.6951,101.69509998094964,1.8732821235697736e-10,2.1517433545538324e-10,1.1711035958297112e-09,-1.905038987670693e-08,-6.077912921738371e-08,3.321075823054069,4.437269417920219,0.4169471648642843,33.21075823054069,44.37269417920219,38.76683503287906,1.2967249779865093,-5.00870558379674,5.697371741180577,59.90313714192296,1.7505787202817877,-6.7617525381256,7.691451850593779,True,9.395112803160221e-07
R1,7.495,cracked_sustained_4phi16,9587.25608163519,20.0,0.35,153,0.05,101.6951,101.69510001101783,1.0834181764999474e-10,1.7916408364941752e-10,7.223688970877526e-10,1.101790902957589e-08,1.4299331534822768e-08,1.5687710462296491,2.2162018185872046,0.2948881453132645,31.37542092459298,44.32403637174409,38.76683503287906,1.4432438592514618,-3.9582797080427223,5.309191686762053,59.83744910185453,1.9483792099894737,-5.343677605857676,7.167408777128772,True,5.9861356022229055e-06
R1,7.495,cracked_sustained_4phi16,9587.25608163519,50.0,0.35,153,0.05,101.6951,101.69509999776024,2.202425289722192e-11,3.9287490786865526e-13,2.3953773724564753e-10,-2.23974450097586e-09,-1.6936531496702933e-08,0.56495689284243,0.8844532107760158,0.19172086689357082,28.2478446421215,44.22266053880079,38.76683503287906,1.3455742794531627,-2.877373263310931,4.675323019240885,59.70059172738107,1.8165252772617697,-3.8844539054697567,6.311686075975195,True,6.2779896097179e-06
R2,6.297999999999998,gross_instantaneous,53386.66666666667,5.0,0.35,129,0.04988405797101514,75.112625,75.11262510724644,1.4278085733653571e-09,2.640065810313517e-09,1.512904779472812e-08,1.072464496654213e-07,1.2214149549411024e-08,5.1145962100069475,7.710886902332018,0.7296452104866594,25.572981050034738,38.55443451166009,34.07550015878058,10.29481201193518,0.0,7.777875625376264,52.04848659074113,13.897996216112494,0.0,10.500132094257957,True,7.529880077742496e-05
R2,6.297999999999998,gross_instantaneous,53386.66666666667,10.0,0.35,129,0.04988405797101514,75.112625,75.11262466323517,4.483465031076033e-09,4.2004722649427055e-09,6.318934808484781e-09,-3.3676480032385214e-07,-1.065723183767825e-06,2.3769215476181045,3.743573634799986,0.5019526184207088,23.769215476181046,37.435736347999864,34.07550015878058,9.476549510139106,-1.065723183767825e-06,7.36000588367831,50.538244069799816,12.793341838687795,-1.4387262980865638e-06,9.93600794296572,True,0.001343461078863982
R2,6.297999999999998,gross_instantaneous,53386.66666666667,20.0,0.35,129,0.04988405797101514,75.112625,75.11262496532862,4.615918206547869e-10,9.389260797480529e-10,3.8992629315556526e-09,-3.467141079793734e-08,1.7511735005658335e-08,1.0455899332270941,1.9223057996600141,0.3601814005342366,20.911798664541884,38.44611599320029,34.07550015878058,8.20070068500639,-0.019723057479996177,6.7015416663084,51.90225659082039,11.070945924758629,-0.02662612759799484,9.04708124951634,True,1.992293410543181e-06
R2,6.297999999999998,gross_instantaneous,53386.66666666667,50.0,0.35,129,0.04988405797101514,75.112625,75.11262501783766,2.3747890305374853e-10,3.28587550716591e-10,1.242862916063608e-09,1.783766395702102e-08,2.9795510511111678e-08,0.31256251655203826,0.8207054973404037,0.22587904660566288,15.628125827601911,41.035274867020185,34.07550015878058,5.932891952962701,-0.5589805999435605,5.499993297700463,55.39762107047725,8.009404136499647,-0.7546238099238067,7.424990951895626,True,9.638078764368894e-07
R2,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,5.0,0.35,129,0.04988405797101514,75.112625,75.11262497362182,3.511816330677199e-10,8.416216894821261e-11,1.984076277100955e-09,-2.637818041772988e-08,-1.4498700722561514e-07,3.6044194259570532,7.966229199296033,1.886189813137138,18.022097129785266,39.83114599648017,34.07550015878058,6.942891275681638,-0.31316520354503447,6.041297023444411,53.772047095248226,9.372903222170212,-0.42277302478579654,8.155750981649955,True,1.0677424010995703e-06
R2,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,10.0,0.35,129,0.04988405797101514,75.112625,75.11262504017287,5.348352338535003e-10,4.4143515591952675e-10,1.0284390790928489e-09,4.017289817470626e-08,1.4211386977543844e-07,1.3681676780139145,4.2020621897409445,1.2822529255429203,13.681676780139146,42.02062189740945,34.07550015878058,5.138301176212512,-0.7537698274272042,5.06462803049392,56.72783956150276,6.936706587886892,-1.0175892670267257,6.837247841166793,True,8.119638159971459e-07
R2,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,20.0,0.35,129,0.04988405797101514,75.112625,75.1126250195836,2.607232725629984e-10,2.537582799703797e-10,5.492954690345408e-10,1.958365222765046e-08,5.9590064317022184e-08,0.47123262128449583,2.2081537591273452,0.8102177710223197,9.424652425689917,44.163075182546905,34.07550015878058,3.5029330520127955,-1.1219484164804667,4.129922867478224,59.620151496438325,4.728959620217275,-1.5146303622486301,5.575395871095603,True,5.614298347833845e-07
R2,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,50.0,0.35,129,0.04988405797101514,75.112625,75.11262501650413,2.1972513135931181e-10,2.0927246835565928e-10,2.16750827586036e-10,1.6504145217144384e-08,5.1370722247215395e-08,0.09920191635156145,0.9300663799554915,0.39697904457984934,4.960095817578072,46.50331899777457,34.07550015878058,1.9364144141105697,-1.2938880393598653,3.2672579765990153,62.77948064699567,2.614159459049269,-1.7467488531358182,4.410798268408671,True,2.755731511817194e-06
R2,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,5.0,0.35,129,0.04988405797101514,75.112625,75.11262492778916,9.61367522408669e-10,1.0216400949724424e-09,2.396179052310227e-09,-7.221083209163481e-08,-1.9813251566670742e-07,3.832724296350288,7.853802944475699,1.7097079835632822,19.16362148175144,39.26901472237849,34.07550015878058,7.435264181881525,-0.19621018020663636,6.301322559476524,53.01316987521097,10.037606645540059,-0.2648837432789591,8.506785455293308,True,1.0900726727961685e-06
R2,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,10.0,0.35,129,0.04988405797101514,75.112625,75.11262505337187,7.105580131720966e-10,7.949180530667725e-10,1.3032194385219608e-09,5.3371922159595186e-08,1.3644105367489195e-07,1.4943138824487991,4.138209473476738,1.183041000430005,14.94313882448799,41.38209473476737,34.07550015878058,5.650299364028565,-0.6284352734453287,5.346252591415137,55.86582789193596,7.627904141438563,-0.8483876191511938,7.217440998410436,True,9.184345785998608e-07
R2,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,20.0,0.35,129,0.04988405797101514,75.112625,75.11262499712906,3.8221719890417487e-11,1.6275992034964456e-10,5.172459747889835e-10,-2.870949339373041e-09,2.280659869551699e-08,0.52930239807015,2.1789899579502796,0.7639230333592686,10.586047961403,43.57979915900559,34.07550015878058,3.9339575567930325,-1.0337957605022559,4.382553977188241,58.83272886465755,5.310842701670595,-1.3956242766780456,5.916447869204126,True,3.779988230722512e-07
R2,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,50.0,0.35,129,0.04988405797101514,75.112625,75.11262502021043,2.6906842879516105e-10,2.9492736700950645e-10,2.1052989835038557e-10,2.02103714874724e-08,5.319478637872549e-08,0.11537692866440899,0.9210151526080267,0.38302624345426006,5.76884643322045,46.050757630401336,34.07550015878058,2.2140856239937365,-1.2900605052238796,3.3857734433056326,62.16852280104181,2.9890155923915445,-1.7415816820522376,4.570794148462604,True,2.275714564150483e-06
R4,6.297999999999998,gross_instantaneous,53386.66666666667,5.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800013955626,1.8148232417640223e-09,2.811369265158879e-09,1.3267043700154846e-08,1.3955627375938917e-07,1.0243365983556019e-07,4.0385041018059065,9.827289937025563,0.9842006302840439,20.19252050902953,49.136449685127815,34.88545116363472,3.348074122469013,-2.8419471419321325,5.511176224077775,66.33420707492256,4.519900065333168,-3.836628641608379,7.440087902504996,True,4.3734951548735695e-07
R4,6.297999999999998,gross_instantaneous,53386.66666666667,10.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800003593638,4.673254856166366e-10,8.163344222962336e-10,7.718823589116134e-09,3.593637487586676e-08,8.583505000520075e-10,2.024775238116231,4.872003602727315,0.515655563467163,20.24775238116231,48.720036027273146,34.88545116363472,3.233380837684859,-2.857404991043388,5.448781390425912,65.77204863681875,4.36506413087456,-3.857496737908574,7.355854877074982,True,5.147162879329328e-07
R4,6.297999999999998,gross_instantaneous,53386.66666666667,20.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800004307698,5.601835472440018e-10,7.924465575255389e-10,3.840183346896684e-09,4.3076937905617285e-08,5.242742355526797e-08,1.0212891753053104,2.399547160008894,0.2798888537272595,20.425783506106207,47.990943200177874,34.88545116363472,3.041563131222561,-2.867397509433631,5.335982881950025,64.78777332024013,4.106110227150458,-3.8709866377354016,7.203576890632534,True,2.5598405680687272e-06
R4,6.297999999999998,gross_instantaneous,53386.66666666667,50.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800001104635,1.4364960566420593e-10,2.070562883640188e-10,1.5132491612560218e-09,1.1046356496180465e-08,1.238183413784788e-08,0.42402990121273676,0.9260709077603025,0.13513753948735976,21.201495060636837,46.30354538801513,34.88545116363472,2.6358915454554412,-2.8130467808845014,5.058340969533167,62.50978627382043,3.558453586364846,-3.797613154194077,6.828760308869776,True,3.866241022142866e-06
R4,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,5.0,0.35,127,0.05000000000000071,76.89799999999998,76.89799997302252,3.508213512145704e-10,3.19899483484577e-10,1.9196369083938658e-09,-2.6977460099164574e-08,-8.154861299604355e-08,4.151876366847861,9.427314553938619,1.2322643800935762,20.759381834239303,47.13657276969309,34.88545116363472,2.830111192858787,-2.8525532264871885,5.198187128155778,63.634373239085676,3.820650110359363,-3.8509468557577047,7.017552623010301,True,9.196701172353971e-07
R4,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,10.0,0.35,127,0.05000000000000071,76.89799999999998,76.89799998376262,2.1115458438651146e-10,2.1437047928567507e-10,8.933083969544125e-10,-1.6237367006510794e-08,-4.30541965430048e-08,2.171444569029513,4.551152039398711,0.7362040482478409,21.71444569029513,45.51152039398711,34.88545116363472,2.460329602976995,-2.7556062814876747,4.920746185454789,61.4405525318826,3.321444964018944,-3.720068480008361,6.643007350363965,True,6.332437589321087e-06
R4,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,20.0,0.35,127,0.05000000000000071,76.89799999999998,76.89799999361912,8.29782115040313e-11,8.32499362552025e-11,5.026850514275624e-10,-6.380918682324932e-09,-1.7193440249654857e-08,1.1601495911241084,2.257799782191151,0.463988219007447,23.20299182248217,45.15599564382302,34.88545116363472,1.9933403216798964,-2.508717202703413,4.504232112297417,60.96059411916108,2.69100943426786,-3.3867682236496077,6.080713351601513,True,7.539152727814901e-06
R4,6.297999999999998,cracked_sustained_3phi16,7870.137835311905,50.0,0.35,127,0.05000000000000071,76.89799999999998,76.8979999984494,2.0164230416133535e-11,1.4075377228481187e-11,2.1863673601615761e-10,-1.550617023671208e-09,-5.878024722343056e-09,0.4316248147830924,0.9332832241105521,0.26026876406653165,21.58124073915462,46.664161205527606,34.88545116363472,1.304239931098888,-1.9279839578218299,3.746705008652574,62.99661762746227,1.7607239069834988,-2.6027783430594704,5.058051761680975,True,1.780095107937721e-05
R4,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,5.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800004691195,6.100544109225609e-10,6.133722615104952e-10,1.9923316724820908e-09,4.6911897533252755e-08,1.260396760485033e-07,4.121078391211532,9.49818701354115,1.1843184281967374,20.605391956057662,47.490935067705756,34.88545116363472,2.916184963477138,-2.8620485136982645,5.256056770132578,64.11276234140277,3.9368497006941365,-3.8637654934926573,7.095676639678981,True,2.2958710068454685e-06
R4,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,10.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800002320487,3.017619502925777e-10,2.75822113797493e-10,1.1186137826732989e-09,2.3204886290262294e-08,6.996331301280245e-08,2.1363975427735067,4.6038229300934175,0.6955543532884673,21.363975427735067,46.03822930093418,34.88545116363472,2.576178568242639,-2.795810708477291,5.012732511303904,62.15160955626114,3.477841067127563,-3.774344456444343,6.767188890260271,True,4.927520238071911e-06
R4,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,20.0,0.35,127,0.05000000000000071,76.89799999999998,76.8980000131412,1.7089154323445952e-10,1.6896256444232595e-10,5.617894649032619e-10,1.3141223831336646e-08,3.6096713298960914e-08,1.1468635832702851,2.2511435188756703,0.43258170461252876,22.937271665405703,45.02287037751341,34.88545116363472,2.13488336308192,-2.5970730681900216,4.638076654857811,60.780875009643104,2.882092540160592,-3.5060486420565296,6.261403484058046,True,7.2480302653952144e-06
R4,6.297999999999998,cracked_sustained_4phi16,9587.25608163519,50.0,0.35,127,0.05000000000000071,76.89799999999998,76.89800000411174,5.3470239699886e-11,4.799141574769508e-11,2.5738402757492126e-10,4.1117405591428735e-09,1.2640865435127602e-08,0.44201041112917816,0.9254348861825428,0.24217066404330564,22.10052055645891,46.271744309127136,34.88545116363472,1.4496819661574305,-2.0719986028364885,3.9245053258793208,62.46685481732164,1.9570706543125314,-2.7971981138292596,5.298082189937084,True,1.6238510303542518e-05
